title,author,length
Reckless,By: Elsie Silver,Length: 9 hrs and 58 mins
"The Dream, the Journey, Eternity, and God","By: Sara Landon, Mike Dooley",Length: 7 hrs and 54 mins
Shift Point,By: Franklin Horton,Length: 10 hrs and 16 mins
King of Pride,By: Ana Huang,Length: 11 hrs and 18 mins
Holy Spirit: The Bondage Breaker,By: David Diga Hernandez,Length: 8 hrs and 40 mins
Darkkin Knight,By: John Conroe,Length: 13 hrs and 24 mins
Crimson River,By: Devney Perry,Length: 8 hrs and 28 mins
The Puppeteers,By: Jason Chaffetz,Length: 8 hrs and 49 mins
The Shift,By: Tinx,Length: 5 hrs and 17 mins
One True Loves,By: Taylor Jenkins Reid,Length: 8 hrs and 34 mins
Allied Enemies,By: S. H. Jucha,Length: 13 hrs and 7 mins
Tracking Justice,"By: L.T. Ryan, C.R. Gray",Length: 8 hrs and 25 mins
Flaunt,By: Adriana Locke,Length: 7 hrs and 27 mins
"The False Hero, Volume 7",By: Michael Plymel,Length: 11 hrs and 20 mins
That Time I Got Drunk and Saved a Demon,By: Kimberly Lemming,Length: 7 hrs and 25 mins
Aster Fall,By: David North,Length: 20 hrs and 22 mins
Recoding America,By: Jennifer Pahlka,Length: 9 hrs and 37 mins
Magic Burns (Dramatized Adaptation),By: Ilona Andrews,Length: 8 hrs and 11 mins
Their Wicked Games,By: D.K. Hood,Length: 8 hrs and 32 mins
10x Is Easier than 2x,"By: Dan Sullivan, Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
